Experience_Years,Training_Hours_Monthly,Projects_Completed,Attendance_Percent,Performance_Score
15,19,21,71.34,100.0
0,16,20,96.61,100.0
3,16,14,78.52,100.0
3,3,10,85.88,87.99
6,4,25,70.58,100.0
7,22,13,66.24,86.89
16,45,10,94.78,100.0
4,9,1,64.38,47.95
6,45,1,90.96,74.97
19,27,28,83.24,100.0
19,32,11,94.45,100.0
3,42,14,88.71,100.0
5,25,16,71.27,100.0
6,49,13,82.98,100.0
17,47,24,60.52,100.0
4,28,15,79.01,100.0
19,26,26,63.44,100.0
2,17,7,77.16,78.92
6,39,23,64.38,100.0
13,9,16,98.22,100.0
6,41,4,80.92,81.68
4,4,11,96.53,97.97
4,9,5,60.89,51.7
1,49,30,85.51,100.0
20,20,17,72.28,100.0
5,23,25,77.27,100.0
14,37,30,94.92,100.0
20,2,4,99.2,100.0
9,39,5,69.86,81.86
6,30,8,97.93,100.0
4,40,14,87.55,100.0
0,36,9,98.06,95.63
12,1,16,82.49,100.0
20,1,28,98.43,100.0
17,38,25,95.7,100.0
12,48,18,65.14,100.0
20,41,11,72.43,100.0
20,43,8,69.72,100.0
17,33,14,82.88,100.0
4,41,13,92.11,100.0
12,19,0,90.38,86.09
3,32,16,89.07,100.0
16,3,0,75.01,67.34
2,44,22,65.59,100.0
16,43,28,68.42,100.0
10,10,20,89.67,100.0
20,41,21,65.9,100.0
19,46,12,68.92,100.0
20,4,30,76.98,100.0
3,24,29,62.88,100.0
1,48,7,68.51,71.95
19,36,29,65.99,100.0
15,33,12,98.05,100.0
17,8,15,67.66,100.0
7,5,1,94.47,77.48
2,17,12,64.59,81.3
8,13,17,94.79,100.0
19,18,2,83.98,99.59
5,13,12,93.99,100.0
9,39,18,94.69,100.0
20,16,12,83.85,100.0
9,34,18,96.71,100.0
12,28,3,83.42,92.06
16,41,18,88.5,100.0
8,16,17,76.64,100.0
16,42,24,96.56,100.0
8,7,5,92.97,90.78
8,0,18,66.67,89.17
0,44,24,83.06,100.0
1,35,30,95.87,100.0
15,6,3,91.72,89.82
0,45,3,98.5,78.16
9,4,23,69.25,100.0
17,23,6,74.7,100.0
7,27,30,80.29,100.0
20,42,6,69.31,100.0
10,16,25,75.76,100.0
1,36,22,81.5,100.0
7,19,25,67.65,100.0
7,2,15,70.27,88.44
16,36,26,64.99,100.0
14,25,15,88.54,100.0
16,14,4,74.46,100.0
12,50,14,68.81,100.0
18,47,22,80.29,100.0
4,7,3,62.73,46.74
11,12,23,96.94,100.0
0,47,24,71.78,100.0
4,2,12,95.46,95.09
7,0,27,79.9,100.0
12,8,18,94.01,100.0
7,30,6,69.88,80.61
10,40,11,67.01,100.0
0,25,25,93.98,100.0
12,16,8,68.52,88.76
18,33,16,89.85,100.0
2,8,1,73.78,42.92
16,50,15,89.93,100.0
4,12,6,96.31,87.6
19,4,30,99.27,100.0
20,40,28,74.39,100.0
7,12,17,74.7,100.0
13,0,6,99.26,88.07
3,24,0,94.46,69.58
10,46,30,61.8,100.0
19,3,2,82.94,87.25
14,35,30,67.25,100.0
18,9,20,99.76,100.0
6,27,29,65.56,100.0
18,5,27,82.37,100.0
18,26,29,86.61,100.0
10,11,10,97.48,100.0
4,47,21,93.89,100.0
4,2,14,69.83,84.1
7,45,28,82.9,100.0
9,32,24,98.14,100.0
5,9,24,89.43,100.0
14,30,2,87.53,99.5
15,14,29,90.2,100.0
16,6,23,72.9,100.0
7,35,12,89.17,100.0
7,13,3,69.31,66.67
8,47,22,77.12,100.0
1,13,21,95.6,100.0
14,2,7,60.76,58.75
17,48,21,76.57,100.0
2,45,3,70.67,65.55
16,49,17,67.94,100.0
3,2,6,93.54,75.65
3,21,10,87.86,100.0
13,18,30,64.51,100.0
8,34,28,79.78,100.0
8,11,26,78.68,100.0
17,4,3,65.7,77.54
9,9,12,91.99,100.0
20,40,8,74.67,100.0
3,32,8,90.48,93.79
11,12,22,67.68,100.0
7,34,20,72.6,100.0
1,50,18,63.81,100.0
12,31,2,65.74,71.77
20,10,24,95.33,100.0
15,47,24,64.36,100.0
1,37,11,63.83,72.04
10,23,28,97.62,100.0
9,34,10,85.84,100.0
14,18,19,64.04,100.0
16,5,10,98.87,100.0
7,39,16,65.88,100.0
17,44,28,90.65,100.0
8,43,25,61.39,100.0
7,41,20,84.98,100.0
13,34,13,81.87,100.0
17,3,15,68.32,100.0
19,32,23,85.73,100.0
19,12,9,84.68,100.0
20,35,30,91.93,100.0
11,42,30,95.03,100.0
18,18,3,80.4,100.0
13,42,9,79.61,100.0
16,11,25,84.86,100.0
20,10,19,89.17,100.0
2,5,28,74.25,100.0
6,11,11,80.19,100.0
16,26,29,83.4,100.0
11,40,8,99.54,100.0
8,24,14,83.51,100.0
14,41,8,68.97,100.0
17,2,6,83.52,95.11
20,2,25,92.78,100.0
12,19,23,94.3,100.0
20,27,11,92.01,100.0
7,22,27,95.53,100.0
13,47,19,73.39,100.0
7,2,23,80.3,100.0
13,41,13,91.18,100.0
6,23,21,70.58,100.0
11,42,15,74.86,100.0
10,39,28,93.25,100.0
10,5,18,90.8,100.0
12,19,22,98.85,100.0
17,10,2,99.84,100.0
1,31,10,69.63,78.69
20,26,22,96.02,100.0
14,20,20,63.78,100.0
19,43,19,88.39,100.0
17,47,18,68.8,100.0
14,49,7,72.01,100.0
18,12,19,97.85,100.0
11,21,7,70.53,89.73
12,34,25,86.93,100.0
10,46,2,67.13,79.48
4,21,9,63.74,68.58
0,27,12,73.57,90.28
2,20,8,84.97,86.37
18,45,5,69.92,98.51
6,17,14,72.01,100.0
11,30,15,88.35,100.0
14,45,4,64.11,89.17
4,36,20,77.88,100.0
14,20,12,97.67,100.0
7,13,18,75.88,100.0
9,24,1,77.37,82.43
15,26,5,89.53,100.0
7,39,26,91.16,100.0
0,22,0,90.78,69.72
11,30,14,99.91,100.0
4,46,14,62.86,87.88
2,28,13,99.29,99.9
0,46,6,98.01,95.0
3,29,30,94.09,100.0
7,50,4,78.17,94.8
2,25,19,94.84,100.0
9,19,24,68.83,100.0
1,37,25,91.67,100.0
10,18,15,67.41,100.0
9,26,16,92.61,100.0
20,24,10,84.58,100.0
13,39,14,63.92,100.0
6,37,19,95.81,100.0
1,22,15,83.12,100.0
8,28,2,86.25,91.33
15,14,5,71.34,87.04
12,2,20,94.87,100.0
8,9,22,81.81,100.0
19,14,12,76.84,100.0
3,15,0,81.37,57.71
9,16,28,88.13,100.0
11,18,20,87.8,100.0
16,10,13,74.3,100.0
13,47,1,75.41,85.21
13,4,1,82.49,76.7
1,4,26,96.98,100.0
20,13,14,89.82,100.0
19,49,26,75.62,100.0
10,25,17,73.48,100.0
15,7,8,80.95,100.0
18,4,25,94.8,100.0
5,6,2,60.35,36.39
18,15,3,88.42,100.0
4,13,14,71.78,91.59
3,36,4,68.34,64.02
14,40,29,60.49,100.0
3,3,19,95.86,100.0
19,35,19,96.49,100.0
9,47,4,62.46,75.63
2,16,9,80.87,87.72
4,46,15,66.1,100.0
5,35,30,90.35,100.0
20,5,24,86.62,100.0
7,15,11,71.89,100.0
6,28,24,64.68,100.0
20,35,29,93.25,100.0
9,37,13,86.97,100.0
5,36,21,60.27,100.0
13,47,10,85.11,100.0
3,47,27,92.41,100.0
12,9,29,83.63,100.0
19,40,18,76.99,100.0
16,35,5,83.36,100.0
6,28,9,84.79,97.3
3,13,19,85.6,100.0
13,3,2,98.68,75.72
2,43,21,67.15,100.0
4,41,14,84.92,100.0
15,35,10,67.52,98.04
19,49,21,68.4,100.0
3,44,1,86.77,91.98
1,12,24,96.64,100.0
17,45,23,66.36,100.0
18,17,5,98.5,100.0
18,32,16,72.77,100.0
16,20,27,75.65,100.0
13,15,17,66.15,100.0
18,14,30,84.63,100.0
12,4,3,83.86,82.57
11,5,22,77.69,100.0
5,37,8,79.04,94.75
20,2,9,84.92,100.0
3,47,20,83.34,100.0
18,11,25,74.97,100.0
15,35,1,95.36,99.98
12,32,30,86.71,100.0
3,35,28,68.22,100.0
16,32,10,72.8,100.0
0,30,10,91.52,93.79
17,20,10,64.18,99.09
19,26,0,90.01,96.55
16,26,25,74.35,100.0
14,7,13,82.07,100.0
10,36,28,71.22,100.0
12,31,29,99.46,100.0
0,25,0,96.23,63.82
16,1,20,97.14,100.0
5,11,29,67.39,100.0
3,21,22,93.67,100.0
19,16,24,81.42,100.0
15,6,8,88.31,100.0
14,42,23,68.7,100.0
14,3,0,88.48,78.3
5,36,20,96.57,100.0
14,37,21,70.7,100.0
13,31,21,69.33,100.0
10,10,3,64.18,64.56
6,0,0,70.67,42.79
8,24,18,81.43,100.0
15,41,9,93.31,100.0
4,23,30,71.15,100.0
19,42,14,84.85,100.0
9,16,19,79.18,100.0
17,7,3,71.54,91.03
2,44,28,80.41,100.0
12,26,19,66.72,100.0
10,17,13,85.58,100.0
16,26,4,64.63,73.54
12,21,28,89.24,100.0
5,15,14,67.11,100.0
16,1,14,99.93,100.0
12,4,26,92.95,100.0
18,17,24,73.75,100.0
20,2,15,77.05,100.0
18,26,15,70.37,100.0
9,16,3,90.68,97.33
2,15,24,75.23,100.0
13,5,8,90.21,100.0
18,50,0,60.74,70.85
4,6,4,65.42,51.67
4,49,8,74.6,95.53
19,13,19,64.36,100.0
16,37,4,84.05,100.0
20,39,3,62.03,93.13
9,14,28,94.39,100.0
4,46,15,90.45,100.0
3,46,1,68.65,52.9
5,47,25,79.35,100.0
3,32,15,78.07,100.0
6,42,17,88.99,100.0
6,26,1,76.06,69.85
17,28,15,61.32,100.0
2,36,28,70.95,100.0
0,4,0,78.65,47.4
3,28,15,98.98,100.0
5,31,2,95.25,78.38
8,5,14,67.26,89.19
13,1,29,88.93,100.0
11,5,10,97.47,100.0
19,45,9,60.35,98.11
3,42,16,88.84,100.0
20,3,3,78.37,86.62
11,28,16,87.21,100.0
9,24,3,84.22,88.28
6,8,18,99.39,100.0
2,2,24,71.55,96.88
13,25,0,91.45,92.77
9,47,13,69.39,100.0
15,42,23,77.42,100.0
15,26,10,99.02,100.0
9,35,24,90.65,100.0
12,31,27,72.63,100.0
5,0,6,84.77,76.8
11,15,16,61.99,97.05
8,50,3,70.66,82.07
12,47,9,88.74,100.0
3,10,16,82.8,100.0
10,25,3,78.79,91.68
19,39,30,87.64,100.0
17,0,18,75.94,100.0
10,25,17,61.05,100.0
20,27,16,77.64,100.0
3,8,5,96.09,80.64
17,43,27,94.26,100.0
0,21,6,76.36,77.17
6,7,5,60.89,52.06
5,48,24,85.45,100.0
14,41,11,89.65,100.0
17,26,8,71.77,100.0
10,38,17,79.07,100.0
19,18,30,99.67,100.0
14,24,30,83.05,100.0
15,37,1,74.04,81.86
6,20,24,85.1,100.0
20,23,16,67.2,100.0
9,23,20,67.97,100.0
11,18,0,97.0,76.77
13,49,22,69.57,100.0
4,46,8,72.43,86.82
20,1,5,81.75,99.46
17,13,29,95.99,100.0
4,31,1,91.26,75.44
2,41,5,61.75,63.3
4,31,8,87.72,96.94
16,27,2,80.16,94.15
18,47,15,79.02,100.0
18,38,24,87.66,100.0
20,39,23,67.85,100.0
11,41,14,99.26,100.0
8,46,28,85.81,100.0
0,39,11,74.63,85.16
17,12,22,84.01,100.0
20,11,7,68.66,98.59
3,7,25,85.35,100.0
9,14,5,61.13,57.28
6,25,2,73.65,86.81
0,11,22,89.9,100.0
16,42,3,92.32,100.0
1,50,26,70.12,100.0
10,45,9,81.58,100.0
8,26,13,81.14,100.0
6,17,20,76.86,100.0
16,44,23,69.14,100.0
16,35,14,88.13,100.0
1,48,6,70.09,72.73
5,50,6,96.44,93.22
13,26,7,81.14,100.0
5,8,9,94.82,92.94
1,38,18,71.63,100.0
0,0,18,92.28,95.65
9,6,1,64.55,53.49
20,25,14,90.67,100.0
4,6,0,75.48,45.35
1,6,9,78.8,75.77
15,7,5,66.67,79.86
1,15,21,60.75,100.0
9,2,12,86.65,100.0
1,44,9,83.51,89.87
15,9,11,84.9,100.0
15,49,23,70.2,100.0
18,6,29,69.57,100.0
6,20,5,93.21,93.5
11,36,5,90.45,100.0
14,30,0,73.47,81.89
7,22,11,85.51,100.0
5,26,22,93.13,100.0
9,21,22,95.55,100.0
2,38,9,60.23,61.6
18,26,24,92.54,100.0
16,48,13,74.02,100.0
6,3,14,88.74,100.0
20,23,27,74.86,100.0
19,22,22,84.25,100.0
3,47,23,85.87,100.0
13,18,3,76.2,86.73
19,41,24,80.51,100.0
14,2,30,89.05,100.0
7,26,29,79.05,100.0
20,2,0,60.56,46.36
14,27,7,60.52,87.49
19,16,2,86.45,100.0
13,30,13,93.89,100.0
8,9,16,91.41,100.0
7,48,1,72.42,73.66
16,21,14,78.85,100.0
1,29,5,69.37,72.72
2,48,4,99.57,90.49
7,20,13,70.42,100.0
11,35,18,76.65,100.0
0,22,8,87.25,91.44
9,37,7,95.04,100.0
19,11,28,62.06,100.0
2,24,2,72.04,79.43
5,19,17,82.76,100.0
6,48,7,84.73,100.0
19,48,15,62.8,100.0
17,41,29,86.56,100.0
10,6,14,81.12,100.0
18,28,20,93.11,100.0
4,47,14,68.89,96.02
18,28,15,67.8,100.0
10,12,24,91.73,100.0
11,2,0,88.15,66.02
9,1,9,91.67,95.71
7,15,18,91.28,100.0
8,29,4,64.16,71.74
3,37,17,71.14,100.0
4,5,2,70.4,49.65
20,44,3,97.38,100.0
7,6,3,79.5,76.31
8,4,10,64.44,70.99
14,6,8,71.58,84.4
14,33,0,94.88,100.0
15,31,27,93.88,100.0
13,48,24,96.01,100.0
7,12,30,75.54,100.0
17,29,15,85.65,100.0
9,24,8,71.13,94.91
19,20,10,67.23,100.0
5,20,5,60.88,48.57
11,27,26,68.94,100.0
1,47,16,84.17,100.0
6,19,26,96.17,100.0
15,33,28,65.34,100.0
2,4,11,96.72,88.87
12,17,21,73.82,100.0
2,38,7,77.07,91.81
17,42,15,74.6,100.0
10,10,4,76.34,77.53
7,16,20,70.37,100.0
5,47,0,87.94,79.21
0,44,16,90.33,100.0
0,21,23,92.92,100.0
7,36,28,73.65,100.0
4,19,20,90.59,100.0
15,47,7,85.51,100.0
10,47,9,98.32,100.0
4,47,17,76.99,100.0
3,45,14,99.69,100.0
5,5,19,89.62,100.0
13,33,12,91.05,100.0
18,13,26,61.03,100.0
8,47,29,79.9,100.0
11,22,9,81.13,100.0
10,19,8,61.62,82.5
13,12,12,72.49,100.0
15,46,2,98.23,100.0
0,43,21,77.04,100.0
12,40,26,67.47,100.0
20,31,22,80.53,100.0
20,25,2,61.35,82.06
12,49,0,80.64,77.89
1,13,1,83.77,68.07
3,35,10,74.31,90.36
5,7,13,90.5,100.0
4,39,9,65.43,82.08
2,21,6,95.13,100.0
0,21,22,98.22,100.0
3,15,27,60.05,100.0
19,26,0,93.71,100.0
1,9,25,80.24,100.0
4,24,6,78.46,80.94
2,30,14,69.55,89.49
8,20,25,77.89,100.0
19,26,10,98.02,100.0
5,16,5,68.43,73.2
17,32,26,67.16,100.0
5,30,21,69.68,100.0
18,49,6,82.07,100.0
11,41,6,97.21,100.0
10,25,0,82.96,76.31
1,20,9,69.74,73.21
14,35,20,77.62,100.0
11,0,14,75.62,100.0
11,3,29,61.86,100.0
8,3,29,80.43,100.0
20,25,7,65.04,90.1
1,3,23,93.69,100.0
2,48,18,81.96,100.0
11,8,2,93.78,75.32
15,29,22,98.24,100.0
20,50,14,97.73,100.0
0,44,3,64.02,55.74
20,3,5,97.79,94.71
2,4,24,91.83,100.0
19,44,9,91.11,100.0
1,22,17,63.61,88.76
8,15,15,67.18,100.0
18,21,17,99.01,100.0
14,36,5,68.53,84.52
17,7,18,66.76,100.0
10,47,16,74.49,100.0
15,32,17,96.53,100.0
16,37,29,79.05,100.0
4,42,12,96.82,100.0
11,15,6,73.37,88.27
10,4,19,69.06,100.0
14,15,11,79.81,100.0
2,6,1,84.62,61.31
0,50,26,75.66,100.0
19,0,11,73.84,95.68
15,8,11,68.72,99.55
1,17,23,71.0,100.0
1,44,3,86.92,86.54
2,46,3,74.79,75.95
7,2,17,63.19,81.39
14,23,15,65.53,100.0
6,27,13,74.9,100.0
5,9,16,96.98,100.0
8,8,16,75.16,100.0
19,12,2,62.43,74.82
0,47,5,76.72,75.18
7,34,22,86.75,100.0
2,22,12,83.74,100.0
3,46,8,71.15,76.43
14,16,20,87.52,100.0
5,45,8,85.22,100.0
14,6,7,66.89,77.76
20,15,16,66.49,100.0
2,39,15,81.89,100.0
20,35,15,86.38,100.0
20,19,26,98.48,100.0
13,23,27,76.88,100.0
19,46,18,90.6,100.0
13,4,23,64.66,100.0
3,44,15,95.58,100.0
11,5,24,85.32,100.0
16,27,13,85.16,100.0
6,4,19,65.7,93.33
8,48,13,61.58,92.79
2,38,13,88.06,100.0
12,37,13,64.68,96.94
14,1,11,65.08,79.58
17,42,5,67.5,99.58
18,38,19,63.91,100.0
0,20,12,85.02,100.0
5,39,15,76.88,100.0
1,36,30,70.64,100.0
13,17,8,77.63,100.0
5,47,1,93.77,79.18
13,45,21,97.08,100.0
3,11,26,79.5,100.0
20,16,28,82.67,100.0
7,36,2,70.29,73.0
2,45,9,80.54,90.63
18,37,19,89.92,100.0
13,14,1,79.69,81.87
19,6,26,72.08,100.0
16,13,23,83.28,100.0
7,49,9,97.87,100.0
13,0,7,95.52,82.2
5,37,16,90.77,100.0
15,2,25,71.05,100.0
18,36,21,69.66,100.0
13,43,0,93.54,85.93
18,30,5,67.25,95.72
2,42,6,84.22,80.63
9,12,14,77.56,100.0
18,47,17,78.72,100.0
8,17,8,78.18,94.48
19,16,7,96.0,100.0
12,16,24,63.48,100.0
6,10,30,91.32,100.0
13,19,9,93.4,100.0
8,9,28,97.72,100.0
18,28,3,78.1,100.0
14,47,19,80.0,100.0
19,33,27,98.45,100.0
13,16,7,78.34,100.0
5,41,0,80.14,65.48
20,12,7,73.29,100.0
3,43,22,61.27,88.51
7,46,11,77.32,98.52
16,38,22,86.2,100.0
8,26,24,87.6,100.0
0,25,14,60.26,77.39
19,27,12,92.04,100.0
13,12,15,79.7,100.0
10,11,25,80.83,100.0
20,43,22,98.47,100.0
2,27,30,71.38,100.0
8,1,17,90.47,100.0
13,36,0,82.99,82.25
8,33,16,88.03,100.0
3,22,15,76.71,100.0
3,44,22,71.17,100.0
7,28,4,81.85,86.91
1,34,19,75.0,100.0
8,10,20,68.92,100.0
13,47,9,93.57,100.0
8,32,25,79.03,100.0
15,50,5,93.89,100.0
16,10,11,78.96,100.0
15,8,30,82.27,100.0
11,13,9,99.81,100.0
2,8,21,98.06,100.0
10,38,16,70.87,100.0
13,47,1,94.75,100.0
17,2,18,75.62,100.0
20,28,19,62.85,100.0
20,18,5,83.03,100.0
4,35,27,99.08,100.0
15,31,27,98.97,100.0
19,6,26,65.06,100.0
4,27,12,90.85,100.0
2,43,8,92.11,95.78
11,17,11,74.75,100.0
0,4,17,86.34,93.58
20,22,7,79.53,100.0
8,21,24,69.12,100.0
8,25,17,90.45,100.0
3,41,24,70.51,100.0
2,11,22,73.62,100.0
16,39,24,67.6,100.0
1,18,21,88.77,100.0
0,46,1,78.35,68.13
7,0,7,77.73,77.4
12,2,9,84.18,92.81
14,26,30,66.29,100.0
7,17,8,95.93,100.0
11,49,27,78.6,100.0
11,29,23,74.66,100.0
13,1,17,65.07,95.21
14,4,30,66.72,100.0
14,28,7,96.81,100.0
8,32,18,78.26,100.0
18,41,2,88.89,100.0
19,19,8,63.22,94.91
7,29,12,85.74,100.0
20,41,8,96.86,100.0
18,4,30,72.0,100.0
5,49,24,83.17,100.0
19,20,19,97.61,100.0
18,14,11,88.77,100.0
3,19,29,62.49,100.0
6,7,22,75.15,100.0
3,48,12,63.43,83.66
11,30,7,94.45,100.0
12,11,14,84.87,100.0
2,20,30,98.26,100.0
11,29,28,60.79,100.0
1,26,30,76.92,100.0
1,43,12,64.17,74.42
8,25,20,74.02,100.0
0,32,12,66.48,79.96
7,25,30,73.15,100.0
5,25,30,92.77,100.0
5,35,16,66.43,100.0
17,39,14,78.95,100.0
16,0,24,96.86,100.0
11,14,21,99.95,100.0
5,49,18,70.03,100.0
7,0,2,97.42,60.74
18,10,13,70.46,100.0
9,1,29,76.54,100.0
0,0,9,95.12,79.07
12,30,16,91.45,100.0
16,43,28,94.3,100.0
2,15,7,92.01,94.41
7,21,17,69.4,100.0
13,41,11,82.35,100.0
2,17,16,75.41,100.0
15,46,22,78.39,100.0
12,16,29,66.16,100.0
19,29,10,72.63,100.0
16,9,8,94.31,100.0
12,34,21,95.9,100.0
5,20,23,84.41,100.0
16,15,23,79.93,100.0
13,5,24,88.51,100.0
16,2,22,84.35,100.0
7,40,24,99.35,100.0
10,42,14,67.6,100.0
19,20,8,77.96,100.0
0,12,11,96.73,88.94
6,17,10,96.59,100.0
20,23,16,79.81,100.0
20,26,5,65.39,94.03
16,3,27,92.6,100.0
9,21,7,83.41,100.0
10,23,9,90.93,100.0
8,39,24,78.5,100.0
8,44,14,68.16,100.0
4,9,3,60.96,48.18
16,1,28,82.37,100.0
8,39,17,66.44,100.0
16,5,10,67.49,81.26
20,47,8,77.45,100.0
18,17,8,77.68,100.0
6,16,27,70.98,100.0
8,37,7,65.28,80.81
6,44,2,97.8,82.22
12,22,20,65.27,100.0
10,45,17,74.03,100.0
13,29,13,72.19,100.0
18,20,2,94.65,100.0
10,9,16,76.4,100.0
12,42,3,64.96,69.37
13,12,20,60.41,100.0
12,11,27,88.88,100.0
0,8,17,88.58,100.0
7,3,30,76.71,100.0
11,38,14,65.05,100.0
18,23,18,74.87,100.0
11,33,27,83.6,100.0
7,38,21,88.16,100.0
7,40,5,63.13,71.47
20,4,14,82.25,100.0
12,14,6,71.04,89.19
11,49,11,84.69,100.0
15,3,15,85.93,100.0
0,50,8,96.42,100.0
12,38,19,76.42,100.0
6,7,4,81.5,79.31
4,48,10,70.73,96.51
7,44,1,71.46,68.59
13,23,21,61.84,100.0
12,27,15,71.44,100.0
14,42,3,62.55,67.98
16,26,4,98.56,100.0
14,0,6,84.97,91.13
19,33,5,66.93,99.54
17,16,23,64.67,100.0
17,36,21,74.8,100.0
1,37,9,72.31,86.74
3,25,13,71.17,98.82
0,23,7,78.73,86.54
3,38,28,96.51,100.0
17,20,13,82.72,100.0
4,29,13,80.85,100.0
18,46,19,92.26,100.0
14,50,27,60.16,100.0
7,47,22,67.9,100.0
19,12,2,79.85,93.39
16,36,0,88.21,89.79
0,2,28,79.4,100.0
11,31,8,66.55,85.74
18,34,8,97.2,100.0
14,18,21,73.15,100.0
8,13,30,91.53,100.0
6,47,1,95.66,80.11
1,21,15,73.86,100.0
8,16,7,93.81,100.0
9,3,25,88.43,100.0
1,44,5,96.17,81.23
18,39,22,70.05,100.0
10,18,12,97.25,100.0
12,36,0,62.61,62.41
9,1,18,91.75,100.0
13,14,14,77.43,100.0
17,1,0,67.12,55.61
18,10,9,63.18,88.45
8,44,0,75.58,70.61
6,22,27,75.57,100.0
2,9,11,69.2,76.73
19,2,10,68.62,93.29
5,4,28,75.98,100.0
20,2,16,76.4,100.0
1,37,3,77.69,60.86
5,12,28,94.75,100.0
2,41,22,84.45,100.0
15,18,6,60.82,88.98
7,39,11,80.76,100.0
1,49,12,90.5,100.0
16,34,4,62.26,86.47
8,23,27,76.9,100.0
11,23,5,78.05,93.85
2,16,1,98.16,67.28
10,39,20,79.03,100.0
0,9,6,90.0,85.24
12,1,13,72.12,97.99
14,43,24,91.17,100.0
4,22,21,72.91,100.0
20,5,27,77.2,100.0
16,1,13,79.18,100.0
5,20,9,97.05,100.0
20,34,3,62.14,85.55
10,48,2,67.87,76.49
17,28,24,88.23,100.0
3,6,22,83.1,100.0
2,28,26,70.06,100.0
12,36,13,71.57,100.0
8,22,28,74.69,100.0
20,32,5,78.01,100.0
5,7,22,92.72,100.0
11,11,14,60.55,70.06
1,45,7,95.92,95.65
2,47,4,76.52,67.18
2,9,2,69.22,50.44
11,14,2,80.34,87.43
14,23,12,86.39,100.0
8,25,1,61.79,57.97
7,46,23,88.63,100.0
10,41,0,90.43,83.7
15,38,11,66.65,100.0
3,2,7,66.72,50.81
0,1,18,68.15,77.99
6,5,8,91.87,87.48
1,20,27,70.88,100.0
4,8,13,91.84,100.0
6,9,27,81.62,100.0
3,35,26,90.69,100.0
4,2,17,82.15,99.81
0,40,9,73.43,82.54
0,23,8,96.43,92.76
14,21,5,88.61,100.0
19,48,0,79.36,97.72
18,13,4,85.5,100.0
9,41,9,84.63,100.0
17,44,24,74.32,100.0
2,43,12,76.95,99.66
10,26,21,72.73,100.0
14,32,22,99.98,100.0
10,21,3,83.2,94.71
16,28,0,63.68,50.57
16,18,20,80.76,100.0
5,18,1,62.0,51.67
4,5,23,71.55,100.0
7,44,3,77.84,88.64
1,18,16,81.37,100.0
15,12,9,99.05,100.0
19,25,22,99.29,100.0
11,21,11,63.92,94.19
5,20,26,81.53,100.0
0,35,1,92.68,68.2
3,1,2,69.51,47.47
16,46,13,90.02,100.0
12,43,24,95.14,100.0
17,29,14,86.5,100.0
4,26,12,73.11,100.0
2,6,8,96.93,91.86
10,19,1,95.34,86.62
12,49,18,88.63,100.0
3,30,15,74.55,100.0
13,22,10,91.68,100.0
10,12,11,72.64,97.86
9,16,24,70.12,100.0
18,3,0,80.6,72.0
17,13,1,99.89,100.0
5,19,15,92.17,100.0
14,12,26,89.19,100.0
20,2,1,78.08,81.05
9,25,25,72.48,100.0
4,25,29,94.24,100.0
4,17,18,82.71,100.0
9,31,9,92.53,100.0
4,13,18,79.51,100.0
2,46,9,90.16,100.0
5,2,15,94.71,100.0
3,0,12,75.66,82.13
17,25,15,60.54,100.0
8,23,17,70.2,100.0
16,48,23,96.6,100.0
12,34,7,87.5,100.0
14,13,23,89.49,100.0
19,2,17,73.01,100.0
16,12,30,88.05,100.0
12,46,12,85.85,100.0
15,49,24,67.13,100.0
3,13,26,98.75,100.0
4,20,6,74.16,82.53
4,25,27,73.17,100.0
8,2,20,74.77,100.0
16,50,22,63.67,100.0
12,39,23,85.0,100.0
1,3,24,69.54,100.0
12,35,17,92.13,100.0
20,50,5,75.77,100.0
18,42,8,78.34,100.0
2,0,28,85.86,100.0
9,39,5,90.47,100.0
1,46,17,69.24,100.0
12,32,16,98.65,100.0
18,6,11,84.89,100.0
16,10,2,60.23,52.77
20,26,26,76.62,100.0
13,13,4,77.47,89.58
11,21,6,92.37,100.0
20,15,9,72.21,100.0
11,45,9,73.25,100.0
10,11,18,62.82,100.0
6,48,24,71.34,100.0
3,45,25,88.68,100.0
18,9,27,85.39,100.0
0,23,3,63.26,55.83
2,45,9,64.59,76.43
12,17,17,75.08,100.0
14,21,2,89.75,95.91
1,8,20,93.32,100.0
10,16,2,60.58,57.99
3,37,4,73.16,75.47
18,39,15,76.97,100.0
16,12,19,96.45,100.0
2,49,12,80.06,98.94
17,36,10,70.79,100.0
7,5,25,75.6,100.0
18,20,12,77.46,100.0
4,50,18,86.8,100.0
6,35,27,61.64,100.0
20,6,5,75.58,97.81
7,35,23,85.86,100.0
4,24,12,71.33,98.02
16,10,27,83.67,100.0
4,43,3,74.29,75.35
3,13,24,90.35,100.0
18,44,21,62.42,100.0
20,28,4,96.72,100.0
1,9,18,66.86,95.76
10,49,4,66.34,85.64
12,47,20,93.63,100.0
14,4,13,94.77,100.0
11,7,30,63.72,100.0
20,45,27,96.35,100.0
10,4,27,70.93,100.0
6,23,3,84.74,91.44
4,39,11,62.74,69.66
16,25,5,75.23,99.94
19,5,18,78.03,100.0
8,15,9,83.99,100.0
13,35,0,81.01,77.22
11,11,22,78.46,100.0
5,10,22,98.39,100.0
16,2,27,67.4,100.0
18,43,15,66.32,100.0
18,36,3,88.54,100.0
15,5,8,62.98,76.18
11,18,27,79.32,100.0
11,17,17,79.36,100.0
19,15,30,72.4,100.0
